,dep,lemma,tag
219,['  head_token_index: 37'],"['lemma: ""El""']",['  tag: DET']
220,['  head_token_index: 37'],"['lemma: ""ser""']",['  tag: VERB']
221,['  head_token_index: 37'],"['lemma: ""Jonathan""']",['  tag: NOUN']
222,['  head_token_index: 38'],"['lemma: ""Pernía""']",['  tag: NOUN']
223,['  head_token_index: 41'],"['lemma: "",""']",['  tag: PUNCT']
224,['  head_token_index: 38'],"['lemma: ""venezolano""']",['  tag: ADJ']
225,['  head_token_index: 46'],"['lemma: ""a""']",['  tag: ADP']
226,['  head_token_index: 42'],"['lemma: ""que""']",['  tag: PRON']
227,['  head_token_index: 46'],"['lemma: ""se""']",['  tag: PRON']
228,['  head_token_index: 46'],"['lemma: ""él""']",['  tag: PRON']
229,['  head_token_index: 41'],"['lemma: ""dar""']",['  tag: VERB']
230,['  head_token_index: 46'],"['lemma: ""trabajo""']",['  tag: NOUN']
231,['  head_token_index: 41'],"['lemma: "",""']",['  tag: PUNCT']
232,['  head_token_index: 51'],"['lemma: ""se""']",['  tag: PRON']
233,['  head_token_index: 51'],"['lemma: ""él""']",['  tag: PRON']
234,['  head_token_index: 37'],"['lemma: ""brindar""']",['  tag: VERB']
235,['  head_token_index: 51'],"['lemma: ""comida""']",['  tag: NOUN']
236,['  head_token_index: 52'],"['lemma: ""y""']",['  tag: CONJ']
237,['  head_token_index: 52'],"['lemma: ""techo""']",['  tag: NOUN']
238,['  head_token_index: 52'],"['lemma: ""y""']",['  tag: CONJ']
239,['  head_token_index: 57'],"['lemma: ""luego""']",['  tag: ADV']
240,['  head_token_index: 52'],"['lemma: ""en""']",['  tag: ADP']
241,['  head_token_index: 59'],"['lemma: ""un""']",['  tag: DET']
242,['  head_token_index: 57'],"['lemma: ""noche""']",['  tag: NOUN']
243,['  head_token_index: 61'],"['lemma: "",""']",['  tag: PUNCT']
244,['  head_token_index: 51'],"['lemma: ""aprovechár""']",['  tag: VERB']
245,['  head_token_index: 63'],"['lemma: ""se""']",['  tag: PRON']
246,['  head_token_index: 61'],"['lemma: ""de""']",['  tag: ADP']
247,['  head_token_index: 65'],"['lemma: ""el""']",['  tag: DET']
248,['  head_token_index: 63'],"['lemma: ""bondad""']",['  tag: NOUN']
249,['  head_token_index: 65'],"['lemma: ""de""']",['  tag: ADP']
250,['  head_token_index: 68'],"['lemma: ""un""']",['  tag: DET']
251,['  head_token_index: 66'],"['lemma: ""familia""']",['  tag: NOUN']
252,['  head_token_index: 68'],"['lemma: ""bumangués""']",['  tag: ADJ']
253,['  head_token_index: 61'],"['lemma: "",""']",['  tag: PUNCT']
254,['  head_token_index: 72'],"['lemma: ""ellos""']",['  tag: PRON']
255,['  head_token_index: 51'],"['lemma: ""robar""']",['  tag: VERB']
256,['  head_token_index: 72'],"['lemma: ""mas""']",['  tag: ADV']
257,['  head_token_index: 73'],"['lemma: ""de""']",['  tag: ADP']
258,['  head_token_index: 76'],"['lemma: ""20""']",['  tag: NUM']
259,['  head_token_index: 74'],"['lemma: ""millones""']",['  tag: NOUN']
260,['  head_token_index: 76'],"['lemma: ""de""']",['  tag: ADP']
261,['  head_token_index: 77'],"['lemma: ""peso""']",['  tag: NOUN']
262,['  head_token_index: 37'],"['lemma: "".""']",['  tag: PUNCT']
263,['  head_token_index: 80'],"['lemma: ""Ayúdanos""']",['  tag: VERB']
264,['  head_token_index: 80'],"['lemma: ""a""']",['  tag: ADP']
265,['  head_token_index: 81'],"['lemma: ""encontrar""']",['  tag: VERB']
266,['  head_token_index: 82'],"['lemma: ""a""']",['  tag: ADP']
267,['  head_token_index: 85'],"['lemma: ""este""']",['  tag: DET']
268,['  head_token_index: 83'],"['lemma: ""hampón""']",['  tag: NOUN']
269,['  head_token_index: 85'],"['lemma: ""@""']",['  tag: X']
270,['  head_token_index: 86'],"['lemma: ""DanielSamperO""']",['  tag: NOUN']
271,['  head_token_index: 87'],"['lemma: ""@""']",['  tag: X']
272,['  head_token_index: 87'],"['lemma: ""TatanFue""']",['  tag: NOUN']
273,['  head_token_index: 87'],"['lemma: ""@""']",['  tag: X']
274,['  head_token_index: 87'],"['lemma: ""SoyFranciscoRey""']",['  tag: NOUN']
275,['  head_token_index: 87'],"['lemma: ""https://t.co/MqDF4po66y""']",['  tag: NOUN']
276,[],"['lemma: ""RT""']",['  tag: NOUN']
277,[],"['lemma: ""@""']",['  tag: X']
278,[],"['lemma: ""LuisChataing""']",['  tag: NOUN']
279,[],"['lemma: "":""']",['  tag: PUNCT']
280,['  head_token_index: 5'],"['lemma: ""NO""']",['  tag: ADV']
281,['  head_token_index: 6'],"['lemma: ""todos""']",['  tag: PRON']
282,[],"['lemma: ""ser""']",['  tag: VERB']
283,['  head_token_index: 8'],"['lemma: ""el""']",['  tag: DET']
284,['  head_token_index: 6'],"['lemma: ""asesino""']",['  tag: NOUN']
285,['  head_token_index: 11'],"['lemma: ""que""']",['  tag: PRON']
286,['  head_token_index: 11'],"['lemma: ""él""']",['  tag: PRON']
287,['  head_token_index: 8'],"['lemma: ""arrebatar""']",['  tag: VERB']
288,['  head_token_index: 13'],"['lemma: ""el""']",['  tag: DET']
289,['  head_token_index: 11'],"['lemma: ""vida""']",['  tag: NOUN']
290,['  head_token_index: 11'],"['lemma: ""a""']",['  tag: ADP']
291,['  head_token_index: 14'],"['lemma: ""Diana""']",['  tag: NOUN']
292,[],"['lemma: "".""']",['  tag: PUNCT']
293,['  head_token_index: 18'],"['lemma: ""El""']",['  tag: DET']
294,['  head_token_index: 20'],"['lemma: ""criminal""']",['  tag: NOUN']
295,['  head_token_index: 20'],"['lemma: ""no""']",['  tag: ADV']
296,['  head_token_index: 20'],"['lemma: ""ser""']",['  tag: VERB']
297,['  head_token_index: 20'],"['lemma: ""exclusivo""']",['  tag: ADJ']
298,['  head_token_index: 21'],"['lemma: ""de""']",['  tag: ADP']
299,['  head_token_index: 24'],"['lemma: ""ninguno""']",['  tag: DET']
300,['  head_token_index: 22'],"['lemma: ""país""']",['  tag: NOUN']
301,['  head_token_index: 20'],"['lemma: "".""']",['  tag: PUNCT']
302,['  head_token_index: 34'],"['lemma: ""Meter""']",['  tag: VERB']
303,['  head_token_index: 26'],"['lemma: ""a""']",['  tag: ADP']
304,['  head_token_index: 30'],"['lemma: ""TODO""']",['  tag: DET']
305,['  head_token_index: 30'],"['lemma: ""el""']",['  tag: DET']
306,['  head_token_index: 27'],"['lemma: ""venezolano""']",['  tag: NOUN']
307,['  head_token_index: 26'],"['lemma: ""en""']",['  tag: ADP']
308,['  head_token_index: 33'],"['lemma: ""el""']",['  tag: DET']
309,['  head_token_index: 31'],"['lemma: ""mismo""']",['  tag: NOUN']
310,['  head_token_index: 34'],"['lemma: ""sacar""']",['  tag: VERB']
311,['  head_token_index: 34'],"['lemma: ""de""']",['  tag: ADP']
312,['  head_token_index: 37'],"['lemma: ""un""']",['  tag: DET']
313,['  head_token_index: 35'],"['lemma: ""criminal""']",['  tag: NOUN']
314,['  head_token_index: 40'],"['lemma: ""ser""']",['  tag: VERB']
315,['  head_token_index: 38'],"['lemma: ""como""']",['  tag: ADP']
316,['  head_token_index: 34'],"['lemma: ""meter""']",['  tag: VERB']
317,['  head_token_index: 40'],"['lemma: ""a""']",['  tag: ADP']
318,['  head_token_index: 44'],"['lemma: ""TODO""']",['  tag: DET']
319,['  head_token_index: 44'],"['lemma: ""el""']",['  tag: DET']
320,['  head_token_index: 41'],"['lemma: ""ecuatoriano""']",['  tag: NOUN']
321,['  head_token_index: 40'],"['lemma: ""en""']",['  tag: ADP']
322,['  head_token_index: 47'],"['lemma: ""el""']",['  tag: DET']
323,['  head_token_index: 45'],"['lemma: ""saco""']",['  tag: NOUN']
324,['  head_token_index: 47'],"['lemma: ""de""']",['  tag: ADP']
325,['  head_token_index: 50'],"['lemma: ""un""']",['  tag: DET']
326,['  head_token_index: 48'],"['lemma: ""delincuente""']",['  tag: NOUN']
327,['  head_token_index: 50'],"['lemma: ""nacer""']",['  tag: VERB']
328,['  head_token_index: 51'],"['lemma: ""en""']",['  tag: ADP']
329,['  head_token_index: 52'],"['lemma: ""Ecuador""']",['  tag: NOUN']
330,['  head_token_index: 34'],"['lemma: "".""']",['  tag: PUNCT']
331,['  head_token_index: 55'],"['lemma: ""#""']",['  tag: NOUN']
332,['  head_token_index: 55'],"['lemma: ""PiensaloLeninMoreno""']",['  tag: NOUN']
333,['  head_token_index: 2'],"['lemma: ""RT""']",['  tag: NOUN']
334,[],"['lemma: ""@""']",['  tag: X']
335,['  head_token_index: 2'],"['lemma: ""liuvi44""']",['  tag: VERB']
336,['  head_token_index: 2'],"['lemma: "":""']",['  tag: PUNCT']
337,['  head_token_index: 2'],"['lemma: ""Deber""']",['  tag: VERB']
