,dep,lemma,tag
315,['  head_token_index: 11'],"['lemma: ""costa""']",['  tag: NOUN']
316,['  head_token_index: 8'],"['lemma: ""Relación""']",['  tag: NOUN']
317,[],"['lemma: ""venezolano""']",['  tag: ADJ']
318,[],"['lemma: ""con""']",['  tag: ADP']
319,['  head_token_index: 2'],"['lemma: ""Bonaire""']",['  tag: NOUN']
320,['  head_token_index: 3'],"['lemma: "",""']",['  tag: PUNCT']
321,['  head_token_index: 3'],"['lemma: ""Aruba""']",['  tag: NOUN']
322,['  head_token_index: 3'],"['lemma: ""y""']",['  tag: CONJ']
323,['  head_token_index: 3'],"['lemma: ""Curazao""']",['  tag: NOUN']
324,['  head_token_index: 8'],"['lemma: ""pasar""']",['  tag: VERB']
325,['  head_token_index: 8'],"['lemma: ""a""']",['  tag: ADP']
326,['  head_token_index: 8'],"['lemma: ""...""']",['  tag: PUNCT']
327,['  head_token_index: 1'],"['lemma: ""\\\'""']",['  tag: PUNCT']
328,['  head_token_index: 1'],"['lemma: ""Mantenga""']",['  tag: NOUN']
329,['  head_token_index: 3'],"['lemma: ""él""']",['  tag: PRON']
330,['  head_token_index: 1'],"['lemma: ""venezolano""']",['  tag: NOUN']
331,['  head_token_index: 1'],"['lemma: ""\\\'""']",['  tag: PUNCT']
332,['  head_token_index: 7'],"['lemma: "",""']",['  tag: PUNCT']
333,['  head_token_index: 7'],"['lemma: ""el""']",['  tag: DET']
334,['  head_token_index: 1'],"['lemma: ""canción""']",['  tag: NOUN']
335,['  head_token_index: 9'],"['lemma: ""que""']",['  tag: PRON']
336,['  head_token_index: 7'],"['lemma: ""generar""']",['  tag: VERB']
337,['  head_token_index: 9'],"['lemma: ""polémico""']",['  tag: NOUN']
338,['  head_token_index: 10'],"['lemma: ""en""']",['  tag: ADP']
339,['  head_token_index: 13'],"['lemma: ""el""']",['  tag: DET']
340,['  head_token_index: 11'],"['lemma: ""costa""']",['  tag: NOUN']
341,[],"['lemma: ""Denunciar""']",['  tag: VERB']
342,['  head_token_index: 2'],"['lemma: ""124""']",['  tag: NUM']
343,[],"['lemma: ""detención""']",['  tag: NOUN']
344,['  head_token_index: 2'],"['lemma: ""durante""']",['  tag: ADP']
345,['  head_token_index: 3'],"['lemma: ""protestas""']",['  tag: NOUN']
346,['  head_token_index: 4'],"['lemma: ""en""']",['  tag: ADP']
347,['  head_token_index: 5'],"['lemma: ""apagón""']",['  tag: NOUN']
348,['  head_token_index: 6'],"['lemma: ""de""']",['  tag: ADP']
349,['  head_token_index: 7'],"['lemma: ""Venezuela""']",['  tag: NOUN']
350,['  head_token_index: 9'],"['lemma: ""Banco""']",['  tag: NOUN']
351,[],"['lemma: ""ruso""']",['  tag: ADJ']
352,[],"['lemma: ""Rusfincorp""']",['  tag: NOUN']
353,['  head_token_index: 4'],"['lemma: "",""']",['  tag: PUNCT']
354,[],"['lemma: ""sancionar""']",['  tag: VERB']
355,['  head_token_index: 4'],"['lemma: ""por""']",['  tag: ADP']
356,['  head_token_index: 5'],"['lemma: ""EE.""']",['  tag: NOUN']
357,['  head_token_index: 6'],"['lemma: ""UU.""']",['  tag: NOUN']
358,['  head_token_index: 4'],"['lemma: "",""']",['  tag: PUNCT']
359,['  head_token_index: 9'],"['lemma: ""asumir""']",['  tag: VERB']
360,['  head_token_index: 9'],"['lemma: ""cuenta""']",['  tag: NOUN']
361,['  head_token_index: 10'],"['lemma: ""de""']",['  tag: ADP']
362,['  head_token_index: 9'],"['lemma: ""...""']",['  tag: PUNCT']
363,[],"['lemma: ""Ayuda""']",['  tag: VERB']
364,[],"['lemma: ""humanitario""']",['  tag: ADJ']
365,[],"['lemma: "":""']",['  tag: PUNCT']
366,['  head_token_index: 9'],"['lemma: ""militar""']",['  tag: NOUN']
367,['  head_token_index: 3'],"['lemma: ""de""']",['  tag: ADP']
368,['  head_token_index: 6'],"['lemma: ""EE.""']",['  tag: NOUN']
369,['  head_token_index: 4'],"['lemma: ""UU.""']",['  tag: NOUN']
370,['  head_token_index: 6'],"['lemma: ""y""']",['  tag: CONJ']
371,['  head_token_index: 6'],"['lemma: ""Colombia""']",['  tag: NOUN']
372,[],"['lemma: ""pedir""']",['  tag: VERB']
373,['  head_token_index: 9'],"['lemma: ""a""']",['  tag: ADP']
374,['  head_token_index: 10'],"['lemma: ""Fuerza""']",['  tag: NOUN']
375,[],"['lemma: ""...""']",['  tag: PUNCT']
